id,title,author,genre,description,rating,date,completed,age,free,link
761553,살아간다,이행복,"스토리, 액션",하루하루 버겁게 살아가고 있는 주인공 '권도이'.첫사랑 '정선영'을 위해 불법도박격투기장 '하데스'에 점점 빠져 들게 되고 오래 전 자신의 꿈이었던 종합격투기 선수를 떠올린다.<라스트 서브미션> 이행복 작가의 차기작.,8.65,2021.12.19 22:53,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=761553
764129,살아남은 로맨스,이연,"스토리, 판타지","로맨스 소설에 빙의해 행복한 삶을 살던 채린.그녀의 눈에 남자주인공인 '제하' 외에는 모두 검은색 그림자로밖에 보이지 않는다.그리고 갑자기 바뀐 소설의 장르. 살아남으려면 엑스트라들과 손을 잡아야 한다!!<화장 지워주는 남자> 이연 작가의 차기작, 세상에 이런 장르는 없었다!",9.98,2022.12.24 22:56,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=764129
748418,살의,길연,"스토리, 스릴러","2016년, 타인의 '살의'를 조종하여 살인을 저지르게 만드는 미치광이 '살인설계자'에 대한 소문이 무성하다. 급기야 경찰에서는 '살인설계자 전담반'까지 만들어 그를 쫒는 도중, 그의 본 모습을 목격했을 것으로 추정되는 서은영을 찾아 나서는데...",9.7,2020.07.13 00:00,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=748418
719899,살인자o난감,꼬마비 / 노마비,"에피소드, 스릴러",(드라마 원작) 반전이 거듭될 수록 독자는 혼란에 빠진다.,9.97,2019.12.02 23:00,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=719899
793383,살인자의 쇼핑 목록,강지영 / 정석현,"스토리, 스릴러","드라마 <살인자의 쇼핑목록>의 원작소설을 쓴 강지영 작가가 풀어내는 또 하나의 이야기.어릴 적부터 불운이 끊이지 않은 은지는 의지할 곳이 없다. 사람들이 불가촉천민 대하듯 하는 중경시에서 벗어나이도신도시에서 새로운 삶을 시작하려는 은지 주변에서 또 살인사건이 발생한다.살인자는 서서히 은지를 압박해오는데, 대체 왜? 나한테서 원하는 게 뭐야?",9.85,2022.12.24 22:00,FALSE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=793383
96908,삵의 발톱,손영완,"스토리, 무협/사극","중국의 위촉오시대, 삼국지연의만이 전부가 아니다.  고구려인, 백제인의 시각에서 바라본 삼국지.가상 역사 드라마가 시작됩니다.",9.91,2013.07.31 23:06,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=96908
726212,삶이 우리를 속일지라도,김지수,"스토리, 로맨스",재벌 3세들과 친해진 가난한 대학생!그녀는 솔직해질 수 있을까?,9.94,2021.03.21 23:25,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=726212
22027,삼국전투기,최훈,"옴니버스, 개그","삼국의 에이스가 선보이는 피튀기는 한판 승부! 삼국지의 맥을 잇는, 패러디 대마왕 최훈 작가의 이색 삼국 전투기!!",9.39,2016.03.01 23:05,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=22027
711422,삼국지톡,무적핑크 / 이리,"에피소드, 무협/사극","""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!""",9.9,2022.12.29 22:59,FALSE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=711422
769317,삼매경,이원식 / 꿀찬,"스토리, 액션",학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,9.03,2021.12.19 22:55,TRUE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=769317
